,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,age
8029,High School,Skilled Manual,M,M,1,1,1,1,10.8495312426,1,36.0
8030,Bachelors,Skilled Manual,M,M,0,2,0,0,10.9088874595,0,23.0
8031,Partial High School,Skilled Manual,M,S,1,2,0,0,11.027637625,1,44.0
8032,Bachelors,Clerical,M,M,1,2,1,2,11.2935996169,1,32.0
8033,Bachelors,Skilled Manual,F,S,0,0,0,0,11.0204471617,0,28.0
8034,Partial College,Clerical,F,S,1,2,0,0,11.3409739529,1,49.0
8035,Graduate Degree,Management,M,M,1,3,2,2,11.6092623902,1,54.0
8036,Bachelors,Manual,F,S,0,1,0,0,10.3103183943,0,27.0
8037,Partial College,Skilled Manual,F,S,1,1,1,1,10.9539769544,0,51.0
8038,Graduate Degree,Clerical,F,S,0,2,0,0,11.3510651421,1,30.0
8039,High School,Manual,F,S,0,0,0,0,10.3513414271,0,25.0
8040,Graduate Degree,Clerical,M,S,1,3,1,1,11.2597993967,1,53.0
8041,High School,Clerical,M,S,1,3,0,0,11.3527097634,1,35.0
8042,Partial College,Management,M,M,1,2,2,2,11.6308151616,1,50.0
8043,Bachelors,Clerical,M,M,0,1,0,0,11.2761392746,0,21.0
8044,Bachelors,Management,F,M,1,1,2,2,11.57534612,0,38.0
8045,High School,Clerical,F,S,1,3,0,0,11.3581062284,1,40.0
8046,Bachelors,Manual,M,M,0,0,0,2,10.3299963476,0,32.0
8047,Graduate Degree,Skilled Manual,F,S,1,0,0,0,10.9166508794,1,43.0
8048,Bachelors,Management,M,S,1,2,0,0,11.5992866306,1,29.0
8049,Graduate Degree,Professional,M,M,1,1,1,2,11.7644465386,1,30.0
8050,Bachelors,Professional,F,M,1,0,0,2,11.7993292207,0,24.0
8051,High School,Manual,M,M,0,1,0,0,10.2290793831,0,20.0
8052,Bachelors,Clerical,F,M,1,1,1,2,11.2585492112,1,55.0
8053,High School,Clerical,M,S,1,1,0,0,11.3221038851,0,40.0
8054,High School,Manual,M,S,0,0,0,0,10.4031713359,1,43.0
8055,High School,Clerical,F,M,0,3,0,0,11.3617187807,0,21.0
8056,High School,Skilled Manual,M,M,1,1,1,1,11.0292609493,1,33.0
8057,High School,Skilled Manual,M,M,1,2,0,2,10.9708671388,1,36.0
8058,Graduate Degree,Clerical,M,S,0,1,0,0,11.269273037,0,30.0
8059,High School,Skilled Manual,M,M,0,2,0,0,11.0059424489,1,20.0
8060,Bachelors,Professional,F,M,1,1,0,2,11.7597777304,1,29.0
8061,Graduate Degree,Professional,F,S,1,2,0,0,11.8333554239,1,30.0
8062,Bachelors,Skilled Manual,F,M,1,1,1,2,10.8753643516,1,55.0
8063,Bachelors,Skilled Manual,M,M,1,1,0,2,10.8989960365,0,34.0
8064,Bachelors,Manual,F,S,0,0,0,0,10.293432849,0,33.0
8065,High School,Skilled Manual,M,S,1,0,0,0,10.9434638657,1,40.0
8066,Bachelors,Management,M,M,1,3,0,2,11.6281541299,0,44.0
8067,Partial College,Management,F,S,1,2,0,0,11.5508857688,1,46.0
8068,High School,Skilled Manual,F,M,1,1,0,2,10.8884084235,0,44.0
8069,Bachelors,Manual,M,M,0,1,0,1,10.4269134583,0,29.0
8070,Bachelors,Skilled Manual,F,S,0,1,0,0,11.0055937305,0,34.0
8071,Partial High School,Manual,M,M,1,1,1,2,10.2093532954,0,45.0
8072,Partial College,Skilled Manual,M,S,0,1,0,0,10.8714215176,1,29.0
8073,Bachelors,Professional,M,M,1,2,2,2,11.765790912,1,32.0
8074,Graduate Degree,Management,M,S,0,1,0,0,11.5535586417,0,28.0
8075,Partial High School,Skilled Manual,F,M,1,1,0,3,10.9013951371,1,75.0
8076,Partial High School,Skilled Manual,F,M,1,0,1,2,10.9933449622,1,46.0
8077,Bachelors,Skilled Manual,M,M,1,1,1,2,10.9202930785,1,50.0
8078,Bachelors,Skilled Manual,M,M,1,2,1,2,10.8665091869,1,31.0
8079,High School,Clerical,F,S,0,1,0,0,11.303869713,0,20.0
8080,Bachelors,Manual,F,M,0,1,0,1,10.3964444778,0,30.0
8081,High School,Manual,F,M,1,1,1,2,10.3695459094,0,50.0
8082,Partial High School,Skilled Manual,F,M,1,1,0,2,10.9307112451,1,42.0
8083,Graduate Degree,Professional,M,S,1,1,0,0,11.834762557,1,26.0
8084,Bachelors,Management,M,M,1,2,2,2,11.5826847094,1,29.0
8085,Bachelors,Professional,F,S,1,1,0,0,11.7838605868,0,30.0
8086,Partial College,Clerical,F,S,0,3,0,0,11.2944086936,0,16.0
8087,High School,Manual,F,S,0,0,0,0,10.4731385334,1,31.0
8088,Partial College,Clerical,M,M,1,0,0,1,11.2553716119,1,34.0
8089,Bachelors,Skilled Manual,F,M,0,1,1,2,10.9971877968,1,25.0
8090,High School,Manual,M,M,1,0,0,1,10.2166911622,0,40.0
8091,Partial College,Manual,M,S,0,0,0,0,10.1988401313,0,18.0
8092,Partial High School,Skilled Manual,M,S,1,1,0,0,10.9850214997,1,39.0
8093,Bachelors,Clerical,M,M,1,3,1,2,11.3018710448,1,33.0
8094,Partial College,Clerical,M,M,1,2,1,2,11.3074130674,1,48.0
8095,Bachelors,Clerical,F,M,1,1,1,2,11.2909187672,0,53.0
8096,Bachelors,Manual,F,S,0,1,0,0,10.3030687175,0,32.0
8097,Bachelors,Clerical,M,S,0,2,0,0,11.2523396182,1,28.0
8098,Bachelors,Professional,M,M,1,2,1,2,11.8284148066,1,49.0
8099,Partial College,Clerical,M,S,0,0,0,0,11.3737093736,1,20.0
8100,High School,Clerical,F,M,0,2,0,0,11.2780635207,0,22.0
8101,Bachelors,Clerical,F,S,1,0,0,0,11.3489113005,0,40.0
8102,Bachelors,Clerical,M,M,1,2,1,2,11.2708793812,1,33.0
8103,Partial College,Clerical,F,S,1,0,0,0,11.2593098195,1,34.0
8104,Graduate Degree,Professional,F,M,1,2,1,2,11.8153015497,1,24.0
8105,High School,Clerical,M,M,1,1,0,2,11.3471423904,1,43.0
8106,Bachelors,Clerical,F,M,1,0,1,1,11.2520411049,1,27.0
8107,Bachelors,Skilled Manual,M,M,1,1,1,2,10.9583917414,1,54.0
8108,Bachelors,Clerical,F,S,0,2,0,0,11.3369159453,1,28.0
8109,Graduate Degree,Professional,F,M,1,2,2,2,11.8266187924,1,36.0
8110,Partial College,Clerical,M,S,0,0,0,0,11.3522988615,1,26.0
8111,Bachelors,Professional,F,S,1,2,0,0,11.8213362064,1,29.0
8112,Bachelors,Professional,F,M,1,2,1,2,11.7573763932,1,50.0
8113,High School,Skilled Manual,M,S,1,1,0,0,10.8924895674,1,41.0
8114,Partial College,Clerical,F,S,0,3,0,0,11.2846939921,1,26.0
8115,Bachelors,Clerical,M,M,1,3,1,2,11.3794969242,1,29.0
8116,Bachelors,Clerical,F,M,1,1,1,2,11.2572070677,1,29.0
8117,High School,Skilled Manual,F,M,1,1,0,1,11.0088768255,0,42.0
8118,Partial College,Manual,F,M,1,1,0,2,10.4463349623,1,37.0
8119,Partial High School,Skilled Manual,F,M,1,2,2,2,10.8605362769,1,48.0
8120,Partial High School,Skilled Manual,M,S,1,2,0,0,11.0220495165,1,41.0
8121,Graduate Degree,Clerical,F,M,1,3,2,2,11.3303358723,1,59.0
8122,High School,Clerical,M,S,0,2,0,0,11.3239538454,1,21.0
8123,Graduate Degree,Clerical,M,M,1,1,1,2,11.3785594384,1,54.0
8124,Bachelors,Clerical,M,M,1,1,0,2,11.2784049406,0,34.0
8125,Bachelors,Manual,F,S,0,0,0,0,10.4918573807,1,27.0
8126,Bachelors,Clerical,M,S,0,0,0,0,11.3026364391,1,32.0
8127,Bachelors,Professional,F,M,1,0,1,2,11.8024408559,1,43.0
8128,Partial College,Management,M,S,0,2,0,0,11.5398594662,0,24.0
8129,Partial College,Management,M,M,1,0,0,0,11.6308062736,0,21.0
8130,Partial College,Skilled Manual,F,M,1,1,1,2,10.9031630933,0,41.0
8131,Bachelors,Skilled Manual,M,M,1,2,0,2,10.9668870854,0,51.0
8132,Partial College,Skilled Manual,F,M,1,0,0,2,10.9204015972,0,35.0
8133,High School,Clerical,F,S,0,1,0,0,11.288205672,0,20.0
8134,Partial High School,Skilled Manual,M,S,0,1,0,0,10.9913590313,0,31.0
8135,Partial College,Clerical,F,S,0,2,0,0,11.3592146884,0,21.0
8136,Bachelors,Management,M,M,1,2,0,2,11.542998698,0,33.0
8137,Partial College,Manual,F,M,1,1,1,1,10.4168798795,1,41.0
8138,Partial College,Skilled Manual,M,S,0,1,0,0,10.8501716897,1,19.0
8139,Partial College,Skilled Manual,M,M,1,1,0,2,11.0058594317,0,36.0
8140,Partial College,Skilled Manual,M,S,0,0,0,0,10.9243004487,0,16.0
8141,High School,Clerical,M,M,1,1,0,2,11.3093884433,0,42.0
8142,Bachelors,Management,M,M,1,1,1,1,11.5478774647,1,39.0
8143,Partial College,Management,F,M,1,1,0,0,11.5484180836,1,20.0
8144,Partial College,Manual,F,S,0,0,0,0,10.4444737392,1,37.0
8145,High School,Manual,F,S,0,0,0,0,10.2374566589,0,41.0
8146,Graduate Degree,Management,M,S,0,2,0,0,11.5548060989,1,26.0
8147,Partial College,Management,M,M,1,3,2,2,11.5439686019,1,37.0
8148,High School,Skilled Manual,M,M,1,1,0,2,10.9219557395,0,46.0
8149,Bachelors,Skilled Manual,F,M,0,0,0,1,10.9677154143,0,29.0
8150,Bachelors,Clerical,F,M,1,2,0,1,11.3700246013,0,24.0
8151,High School,Skilled Manual,M,M,1,1,2,2,10.9085580968,1,36.0
8152,Partial High School,Skilled Manual,M,S,1,1,0,0,10.883654086,1,48.0
8153,Bachelors,Manual,F,M,1,1,0,3,10.3164246755,1,57.0
8154,Partial College,Skilled Manual,M,M,0,0,0,0,10.9467632962,1,21.0
8155,Partial College,Manual,F,M,1,0,1,2,10.4186139149,1,39.0
8156,Graduate Degree,Manual,F,M,1,1,0,1,10.3951303569,0,37.0
8157,Bachelors,Management,F,M,1,2,0,2,11.5300775238,0,30.0
8158,Partial College,Skilled Manual,F,S,0,1,0,0,10.8698628486,0,35.0
8159,Partial High School,Manual,M,S,1,1,0,0,10.1734765211,0,44.0
8160,Bachelors,Management,F,M,1,0,1,2,11.5700427669,1,36.0
8161,Partial College,Skilled Manual,F,M,1,2,0,2,10.8371269227,0,49.0
8162,Bachelors,Manual,M,M,0,0,1,2,10.2896678992,0,29.0
8163,Bachelors,Skilled Manual,F,S,1,2,0,1,10.8403453254,0,52.0
8164,Graduate Degree,Professional,F,M,1,2,1,2,11.8297414921,1,26.0
8165,Bachelors,Clerical,M,M,1,1,1,1,11.3112498203,1,28.0
8166,Partial High School,Skilled Manual,F,S,0,0,0,0,10.9280764809,1,24.0
8167,Bachelors,Skilled Manual,F,S,0,1,0,0,10.9939164484,0,30.0
8168,Graduate Degree,Professional,M,M,1,2,1,2,11.7669861189,1,30.0
8169,Partial College,Management,F,S,1,1,0,0,11.5835143954,0,36.0
8170,Graduate Degree,Professional,F,M,1,3,0,3,11.8353857048,1,61.0
8171,Partial High School,Manual,F,M,0,0,0,0,10.4653864465,0,24.0
8172,Graduate Degree,Skilled Manual,F,S,0,0,0,0,10.9336068448,0,27.0
8173,Partial College,Skilled Manual,M,S,0,1,0,0,10.9703339384,1,32.0
8174,Graduate Degree,Management,M,M,1,2,0,0,11.5434255716,1,30.0
8175,Bachelors,Professional,M,M,1,2,0,2,11.7724626601,0,54.0
8176,Graduate Degree,Professional,F,S,1,3,0,0,11.8113842594,1,35.0
8177,High School,Manual,M,M,1,1,0,2,10.3007524641,0,45.0
8178,Partial High School,Skilled Manual,M,M,0,1,0,0,10.8935862116,0,23.0
8179,Partial College,Manual,F,S,0,0,0,0,10.4795670665,1,17.0
8180,Partial College,Skilled Manual,F,S,0,1,0,0,10.940756211,0,17.0
8181,High School,Clerical,M,M,1,3,1,2,11.3476733921,1,39.0
8182,High School,Clerical,M,M,1,1,1,2,11.2832606967,1,51.0
8183,Partial College,Skilled Manual,F,S,0,1,0,0,10.8957944348,0,19.0
8184,High School,Skilled Manual,F,M,0,2,0,0,10.8794424451,1,20.0
8185,Partial High School,Skilled Manual,F,S,0,1,0,0,10.9262981278,0,25.0
8186,Bachelors,Clerical,F,S,0,0,0,0,11.3373689734,1,31.0
8187,Bachelors,Skilled Manual,M,S,0,0,0,0,10.9341243092,0,23.0
8188,Partial College,Clerical,F,M,0,1,0,0,11.2969561174,0,23.0
8189,Partial College,Manual,M,S,0,0,0,0,10.3956806642,1,38.0
8190,High School,Skilled Manual,F,S,1,2,0,0,10.9244805835,1,46.0
8191,High School,Clerical,M,S,1,0,0,0,11.3222612044,1,35.0
8192,Partial College,Skilled Manual,M,S,0,1,0,0,10.9385208596,1,17.0
8193,Bachelors,Management,F,S,1,2,0,0,11.5700805455,1,32.0
8194,Graduate Degree,Professional,M,S,1,0,0,0,11.7773491458,1,27.0
8195,Bachelors,Management,F,S,0,0,0,0,11.5533761906,0,28.0
8196,Bachelors,Clerical,F,S,0,0,0,0,11.2510280915,1,32.0
8197,Bachelors,Skilled Manual,F,M,1,0,0,2,11.0155753046,1,38.0
8198,High School,Manual,M,S,0,1,0,0,10.2967788597,0,19.0
8199,High School,Manual,F,M,1,1,1,2,10.4807187035,1,45.0
8200,Partial College,Manual,F,M,0,1,0,0,10.1840694785,0,17.0
8201,Bachelors,Management,M,M,1,0,0,1,11.5380570056,1,28.0
8202,Bachelors,Management,F,M,1,2,0,2,11.5676787666,0,51.0
8203,Partial High School,Manual,F,M,1,0,1,2,10.2921455423,0,52.0
8204,Bachelors,Skilled Manual,F,M,1,1,2,2,10.877971718,1,33.0
8205,Partial High School,Manual,M,M,0,1,1,1,10.4300191886,0,25.0
8206,Graduate Degree,Professional,M,M,1,3,1,2,11.804355505,1,24.0
8207,Bachelors,Clerical,M,S,0,0,0,0,11.3353765012,1,21.0
8208,High School,Manual,M,S,0,1,0,0,10.2018869883,0,17.0
8209,Graduate Degree,Clerical,M,S,0,2,0,0,11.2811573286,1,25.0
8210,Partial College,Manual,M,S,1,0,0,0,10.1977976113,0,44.0
8211,Partial College,Clerical,M,M,1,0,0,1,11.3811068903,1,39.0
8212,Partial College,Skilled Manual,F,S,0,1,0,0,10.8699389376,0,34.0
8213,Bachelors,Manual,M,M,1,0,0,2,10.3080856182,0,56.0
8214,Graduate Degree,Professional,M,M,1,3,1,2,11.7868153611,1,27.0
8215,Graduate Degree,Clerical,F,M,1,2,2,2,11.3157176557,1,59.0
8216,Bachelors,Manual,M,M,1,1,0,2,10.4594968449,0,53.0
8217,High School,Manual,M,S,0,1,0,0,10.1932424751,0,40.0
8218,Partial College,Skilled Manual,F,S,0,1,0,0,10.9563525428,0,17.0
8219,Partial College,Clerical,F,S,1,1,1,1,11.2752011288,0,50.0
8220,Graduate Degree,Skilled Manual,M,S,0,1,0,0,10.8860902321,1,27.0
8221,Bachelors,Clerical,M,S,0,0,0,0,11.2916177275,0,30.0
8222,Bachelors,Clerical,F,M,1,2,0,3,11.3480154438,0,70.0
8223,High School,Clerical,M,M,1,3,0,2,11.3537186913,1,49.0
8224,Partial High School,Skilled Manual,M,M,1,2,1,2,10.9934122128,1,45.0
8225,Partial College,Skilled Manual,M,S,0,1,0,0,11.0252628292,0,23.0
8226,Partial College,Skilled Manual,M,M,1,1,1,2,11.0281086604,1,39.0
8227,Bachelors,Professional,F,S,1,1,0,0,11.8076228723,0,38.0
8228,Graduate Degree,Clerical,M,S,0,1,0,0,11.3690089041,1,26.0
8229,Graduate Degree,Management,M,M,1,0,0,2,11.545770125,0,30.0
8230,Bachelors,Professional,F,S,1,3,0,0,11.816439055,1,29.0
8231,Bachelors,Clerical,F,S,0,1,0,0,11.2882682687,0,27.0
8232,Partial College,Skilled Manual,M,S,0,0,0,0,10.9986271517,1,20.0
8233,Graduate Degree,Professional,F,M,1,2,1,2,11.8121407732,1,27.0
8234,Bachelors,Skilled Manual,M,M,1,2,0,1,10.9848519478,1,30.0
8235,Partial College,Skilled Manual,F,M,1,1,2,2,10.8521293013,0,46.0
8236,High School,Clerical,F,M,1,3,2,2,11.2638485316,1,48.0
8237,High School,Clerical,M,S,0,1,0,0,11.3145598885,0,31.0
8238,Partial College,Manual,F,M,1,0,0,1,10.178274337,0,42.0
8239,Partial College,Manual,M,M,1,1,0,1,10.2440940883,0,35.0
8240,Graduate Degree,Skilled Manual,F,M,1,1,0,2,10.956509552,1,57.0
8241,Bachelors,Clerical,M,S,1,1,0,1,11.2965216505,1,54.0
8242,Partial College,Skilled Manual,F,S,1,1,0,0,10.8672151523,0,45.0
8243,Bachelors,Clerical,M,M,1,2,1,1,11.28018602,1,27.0
8244,Bachelors,Skilled Manual,F,M,1,1,0,1,10.9183558478,0,32.0
8245,Bachelors,Skilled Manual,F,S,0,1,0,0,11.0144894389,0,26.0
8246,High School,Skilled Manual,M,M,0,1,0,1,10.9023899971,0,26.0
8247,Partial College,Clerical,M,M,1,0,0,2,11.3001282057,1,46.0
8248,Bachelors,Clerical,M,S,0,2,0,0,11.386295914,1,22.0
8249,Graduate Degree,Clerical,F,S,0,3,0,0,11.2545432616,1,27.0
8250,Bachelors,Clerical,M,M,1,0,2,2,11.3189887122,1,31.0
8251,High School,Skilled Manual,M,M,0,0,0,0,10.9081737032,0,18.0
8252,Partial High School,Manual,F,S,0,0,0,0,10.3291147005,0,25.0
8253,Partial College,Skilled Manual,M,M,0,0,1,1,10.9182471068,1,25.0
8254,Partial College,Clerical,F,S,0,2,0,0,11.3429671672,0,25.0
8255,Graduate Degree,Skilled Manual,F,S,0,1,0,0,10.8523422753,0,30.0
8256,Bachelors,Management,F,S,1,2,0,0,11.6221026877,1,30.0
8257,Bachelors,Management,F,M,1,3,0,2,11.5337863556,0,53.0
8258,Graduate Degree,Management,F,M,1,2,0,0,11.5821902995,1,28.0
8259,Bachelors,Skilled Manual,F,M,0,1,0,1,10.9131775487,0,28.0
8260,Partial College,Manual,F,M,1,1,1,2,10.4543796855,1,46.0
8261,Graduate Degree,Manual,F,S,0,1,0,0,10.3634724111,0,43.0
8262,Partial College,Skilled Manual,M,M,0,1,0,0,10.8603634509,0,23.0
8263,Graduate Degree,Management,F,M,1,2,2,2,11.5522903985,1,62.0
8264,Bachelors,Clerical,M,M,1,2,0,1,11.3015498985,1,37.0
8265,Bachelors,Skilled Manual,F,S,0,1,0,0,10.8749291289,0,36.0
8266,Bachelors,Clerical,M,S,1,1,0,1,11.3081374159,1,55.0
8267,Bachelors,Clerical,M,M,1,3,0,2,11.2645282062,0,32.0
8268,High School,Skilled Manual,F,M,1,1,1,2,10.9191710283,0,36.0
8269,Partial College,Skilled Manual,F,S,0,1,0,0,11.0165614331,0,26.0
8270,High School,Clerical,F,S,0,0,0,0,11.2938735316,0,31.0
8271,Partial College,Clerical,M,S,1,3,0,0,11.2675235234,1,43.0
8272,Partial High School,Manual,M,S,0,0,0,0,10.3646396221,0,42.0
8273,Partial College,Skilled Manual,F,M,1,1,2,2,10.8725794414,1,53.0
8274,Partial College,Clerical,M,M,1,2,1,2,11.2810312379,1,25.0
8275,Bachelors,Management,M,M,1,3,0,2,11.6194902552,0,35.0
8276,Bachelors,Skilled Manual,F,M,1,2,1,2,10.9029974802,1,35.0
8277,Bachelors,Skilled Manual,M,M,0,1,0,1,10.9020400666,1,26.0
8278,Partial College,Clerical,F,S,0,2,0,0,11.2904441943,0,20.0
8279,Partial High School,Manual,M,M,1,1,1,2,10.2695532649,0,43.0
8280,Partial College,Skilled Manual,M,S,1,1,0,0,10.8993470336,0,45.0
8281,High School,Clerical,M,M,0,2,0,0,11.2572070677,0,20.0
8282,Graduate Degree,Skilled Manual,F,M,1,1,0,1,10.9551479863,0,36.0
8283,Graduate Degree,Management,M,M,1,1,0,0,11.619283483,0,23.0
8284,Graduate Degree,Management,M,M,1,3,0,0,11.5621726675,1,22.0
8285,Partial College,Manual,M,S,0,1,0,0,10.4537165651,0,31.0
8286,Graduate Degree,Skilled Manual,M,M,0,2,1,2,10.8801016844,1,27.0
8287,Partial College,Skilled Manual,F,S,0,1,0,0,10.9687498615,0,23.0
8288,High School,Clerical,M,M,1,2,0,2,11.2874166185,1,41.0
8289,Partial High School,Manual,F,M,0,1,1,2,10.3240382981,0,33.0
8290,Partial High School,Skilled Manual,M,S,1,1,0,0,11.0118191223,1,41.0
8291,Graduate Degree,Skilled Manual,M,M,0,1,1,1,11.0330815788,1,25.0
8292,Bachelors,Clerical,F,M,1,2,2,2,11.2537012653,1,51.0
8293,Bachelors,Management,M,M,1,2,0,0,11.5877174888,1,28.0
8294,High School,Skilled Manual,F,M,0,0,0,0,10.9206005176,1,19.0
8295,High School,Skilled Manual,F,M,0,2,0,0,10.8710415783,0,18.0
8296,Partial High School,Manual,F,S,0,0,0,0,10.5060259842,0,24.0
8297,Bachelors,Manual,M,M,0,1,1,1,10.1921566377,0,26.0
8298,Bachelors,Clerical,M,M,1,2,0,2,11.2696302254,0,43.0
8299,Partial College,Skilled Manual,F,M,1,0,1,2,10.9503327504,1,44.0
8300,Bachelors,Clerical,F,M,1,1,1,1,11.2704971522,1,30.0
8301,High School,Manual,F,S,0,0,0,0,10.2298012223,0,20.0
8302,Partial High School,Manual,F,S,0,1,0,0,10.5091141356,0,34.0
8303,Bachelors,Skilled Manual,F,M,0,2,0,0,10.9949241575,1,18.0
8304,Bachelors,Skilled Manual,F,M,0,0,0,0,10.8398161781,0,23.0
8305,Partial College,Manual,M,M,1,1,1,1,10.3303226864,1,38.0
8306,Bachelors,Management,M,M,1,2,1,2,11.5379107177,1,43.0
8307,Partial College,Skilled Manual,M,M,1,1,0,2,10.9169957351,1,41.0
8308,High School,Clerical,F,S,1,1,0,0,11.3740426361,0,45.0
8309,Partial High School,Skilled Manual,M,S,0,1,0,0,11.0259302936,0,30.0
8310,Graduate Degree,Clerical,F,S,1,1,1,1,11.2430571151,0,56.0
8311,Partial College,Skilled Manual,M,M,1,1,0,2,10.8838979678,1,51.0
8312,High School,Skilled Manual,M,M,1,1,0,1,10.9628217931,1,40.0
8313,Partial College,Clerical,M,M,1,1,1,2,11.32983161,1,41.0
8314,High School,Skilled Manual,M,S,1,1,0,0,10.9148338864,1,48.0
8315,High School,Clerical,F,M,1,2,1,2,11.3491586984,1,41.0
8316,Bachelors,Professional,F,S,1,5,0,0,11.7786762962,1,35.0
8317,Bachelors,Manual,M,S,0,1,0,0,10.2954620705,0,28.0
8318,Bachelors,Professional,M,M,1,0,1,1,11.7972995721,1,29.0
8319,Partial College,Clerical,M,S,0,0,0,0,11.363531786,0,29.0
8320,Partial College,Clerical,F,S,1,2,0,0,11.2700127858,1,48.0
8321,Partial College,Management,M,S,0,2,0,0,11.6027844503,1,22.0
8322,High School,Skilled Manual,F,S,0,0,0,0,10.9988947103,0,23.0
8323,Partial High School,Manual,F,S,1,0,1,1,10.2910262721,0,51.0
8324,Partial High School,Skilled Manual,M,S,1,0,0,0,11.0097041881,1,42.0
8325,Graduate Degree,Skilled Manual,F,M,0,1,0,1,10.8595565344,1,27.0
8326,Partial College,Clerical,M,S,0,1,0,0,11.3069954077,1,30.0
8327,Partial College,Skilled Manual,M,M,1,1,2,2,10.9182108572,0,38.0
8328,Bachelors,Management,M,M,1,2,0,0,11.6040724452,1,31.0
8329,High School,Skilled Manual,F,M,0,1,2,2,11.0229803188,0,24.0
8330,Partial College,Skilled Manual,M,M,0,2,0,0,11.0365495759,0,21.0
8331,Partial College,Skilled Manual,F,S,0,1,0,0,10.8494341693,0,17.0
8332,Bachelors,Management,M,S,1,2,0,0,11.5795742579,0,46.0
8333,Graduate Degree,Professional,F,S,1,2,0,0,11.7747280333,0,27.0
8334,Partial College,Clerical,F,M,1,2,1,2,11.3080637773,1,37.0
8335,Partial College,Clerical,M,M,1,2,2,2,11.3548671603,1,40.0
8336,Bachelors,Professional,M,M,1,1,0,0,11.7599730253,0,23.0
8337,Partial College,Clerical,F,S,0,2,0,0,11.2606105364,0,22.0
8338,Graduate Degree,Management,F,S,1,2,0,1,11.5332867597,0,61.0
8339,High School,Manual,F,M,0,1,0,1,10.1887792704,0,24.0
8340,Partial College,Clerical,M,M,1,1,1,2,11.2493114199,1,29.0
8341,Graduate Degree,Clerical,F,S,0,3,0,0,11.3336313209,1,30.0
8342,Partial College,Clerical,F,M,1,1,0,2,11.2718724931,0,32.0
8343,Partial College,Clerical,F,M,1,2,0,1,11.2631427202,1,35.0
8344,High School,Clerical,M,S,1,1,0,0,11.2802365008,1,38.0
8345,Partial College,Skilled Manual,M,M,1,0,2,2,11.0216083076,1,40.0
8346,Partial College,Manual,M,S,1,0,0,0,10.2477862254,0,47.0
8347,High School,Skilled Manual,M,S,1,2,0,0,10.9486463205,1,40.0
8348,Bachelors,Skilled Manual,M,S,0,2,0,0,10.9584091526,1,28.0
8349,Partial College,Skilled Manual,F,S,0,0,0,0,10.8956090574,0,39.0
8350,Partial College,Clerical,M,M,1,3,0,2,11.2665644625,1,38.0
8351,High School,Skilled Manual,M,M,0,1,0,0,10.9073495047,0,22.0
8352,Bachelors,Skilled Manual,F,M,1,1,2,2,10.9810634531,1,56.0
8353,High School,Clerical,M,M,0,3,0,0,11.2885311318,1,20.0
8354,High School,Skilled Manual,F,M,1,2,0,2,10.8487155343,0,42.0
8355,Partial College,Clerical,F,S,0,2,0,0,11.3138401787,1,25.0
8356,Graduate Degree,Professional,M,M,1,2,0,0,11.7614326232,0,24.0
8357,Graduate Degree,Manual,F,M,0,1,0,1,10.4414126462,0,26.0
8358,Bachelors,Skilled Manual,F,S,1,1,1,1,10.8633548815,0,56.0
8359,Graduate Degree,Clerical,M,M,1,1,1,1,11.2595675216,1,25.0
8360,Graduate Degree,Clerical,M,S,1,1,1,1,11.3081005973,1,63.0
8361,Graduate Degree,Professional,F,M,1,1,1,2,11.7562715636,1,31.0
8362,Partial College,Manual,F,M,1,0,1,2,10.5084863463,1,42.0
8363,Partial High School,Skilled Manual,F,M,1,2,0,2,10.9168868462,0,47.0
8364,Graduate Degree,Professional,F,M,1,1,1,2,11.7632560761,1,27.0
8365,Bachelors,Management,M,M,1,2,1,2,11.5521846389,1,30.0
8366,Graduate Degree,Professional,M,M,1,1,0,0,11.8392968594,0,23.0
8367,Partial College,Manual,F,S,0,1,0,0,10.4543508633,0,21.0
8368,Partial High School,Manual,M,S,0,0,0,0,10.4364072938,0,30.0
8369,Bachelors,Clerical,F,M,1,1,1,2,11.3511004123,1,33.0
8370,Bachelors,Manual,F,S,0,1,0,0,10.2711123277,0,39.0
8371,Partial High School,Skilled Manual,F,S,0,1,0,0,10.8942361953,0,23.0
8372,Graduate Degree,Professional,F,M,1,3,2,2,11.7783619285,1,27.0
8373,Bachelors,Management,F,M,1,3,0,2,11.5768481715,1,29.0
8374,Bachelors,Skilled Manual,F,S,0,2,0,0,10.8730156878,1,20.0
8375,Bachelors,Skilled Manual,F,S,0,2,0,0,10.8524390666,0,28.0
8376,Partial College,Skilled Manual,M,S,0,1,0,0,10.8688541221,0,33.0
8377,Partial High School,Skilled Manual,M,S,0,0,0,0,11.0003650039,1,34.0
8378,Bachelors,Clerical,F,S,0,2,0,0,11.3008702106,0,32.0
8379,High School,Clerical,M,M,1,3,1,2,11.3275713145,1,40.0
8380,High School,Clerical,F,M,1,2,0,2,11.3069954077,1,47.0
8381,Bachelors,Management,F,S,0,2,0,0,11.6164833569,1,28.0
8382,Partial College,Clerical,F,M,1,1,0,2,11.2666028426,0,38.0
8383,Partial College,Skilled Manual,F,S,0,0,0,0,11.0012494797,0,19.0
8384,Partial College,Manual,M,S,0,0,0,0,10.4096121437,1,39.0
8385,Bachelors,Clerical,M,M,1,2,0,1,11.3443174463,0,30.0
