,City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,age,year,month,day
10034,Hervey Bay,Queensland,Australia,1997-12-12,Partial College,Skilled Manual,M,S,0,2,0,0,58497,0,49.76,19.0,1997,12,12
10035,Saarlouis,Saarland,Germany,1980-08-06,Bachelors,Clerical,F,M,1,2,1,2,79013,1,50.47,36.0,1980,8,6
10036,Paris,Seine (Paris),France,2000-07-12,Partial High School,Manual,F,S,0,1,0,0,27793,0,48.3,16.0,2000,7,12
10037,Santa Cruz,California,United States,1973-10-02,High School,Skilled Manual,M,M,1,1,0,1,57185,0,50.51,43.0,1973,10,2
10038,St. Leonards,New South Wales,Australia,1980-07-03,Partial College,Clerical,F,S,1,0,0,0,85570,1,49.46,36.0,1980,7,3
10039,Paris,Seine (Paris),France,1988-02-04,Bachelors,Clerical,M,M,1,0,1,1,83440,1,54.04,29.0,1988,2,4
10040,Burbank,California,United States,1994-08-06,Partial College,Clerical,F,S,0,1,0,0,86008,0,50.66,22.0,1994,8,6
10041,Royal Oak,British Columbia,Canada,1984-06-04,Bachelors,Manual,M,S,0,0,0,0,30161,1,51.62,32.0,1984,6,4
10042,Downey,California,United States,1966-12-05,Bachelors,Skilled Manual,M,S,1,2,0,1,59501,0,48.93,50.0,1966,12,5
10043,Newcastle,New South Wales,Australia,1979-05-23,Graduate Degree,Professional,F,M,1,2,1,2,135201,1,56.78,37.0,1979,5,23
10044,Cliffside,British Columbia,Canada,1969-03-09,High School,Clerical,M,M,1,1,1,2,77999,1,52.98,48.0,1969,3,9
10045,Chula Vista,California,United States,1986-06-14,Graduate Degree,Professional,F,S,1,1,0,0,134202,0,56.26,30.0,1986,6,14
10046,Stuttgart,Saarland,Germany,1983-03-02,Bachelors,Skilled Manual,M,M,1,1,1,2,57869,1,57.77,34.0,1983,3,2
10047,Edmonds,Washington,United States,1988-07-13,Bachelors,Clerical,M,M,1,0,1,1,86279,1,50.45,28.0,1988,7,13
10048,Hof,Bayern,Germany,1982-03-23,Graduate Degree,Management,M,M,1,2,1,2,102719,1,61.25,34.0,1982,3,23
10049,Kirkby,England,United Kingdom,1984-01-21,Partial High School,Skilled Manual,F,M,1,1,0,2,54734,1,48.65,33.0,1984,1,21
10050,Colma,California,United States,1987-10-06,Graduate Degree,Professional,M,S,1,2,0,0,134984,1,53.66,29.0,1987,10,6
10051,Cheltenham,England,United Kingdom,1983-04-04,Bachelors,Professional,F,M,1,3,1,2,135365,1,53.65,33.0,1983,4,4
10052,Lavender Bay,New South Wales,Australia,1995-12-22,Bachelors,Clerical,M,S,0,2,0,0,87745,1,50.8,21.0,1995,12,22
10053,Oak Bay,British Columbia,Canada,1994-05-08,High School,Skilled Manual,M,S,0,2,0,0,57903,1,49.49,22.0,1994,5,8
10054,Renton,Washington,United States,1979-05-25,Graduate Degree,Clerical,F,S,1,3,0,0,81062,0,53.82,37.0,1979,5,25
10055,Milwaukie,Oregon,United States,1980-11-25,Partial College,Skilled Manual,M,S,0,1,0,0,52732,0,52.41,36.0,1980,11,25
10056,Torrance,California,United States,1965-09-24,Bachelors,Clerical,M,M,1,3,0,2,83583,1,49.64,51.0,1965,9,24
10057,San Francisco,California,United States,1988-02-20,Bachelors,Management,F,M,1,2,2,2,112831,1,56.32,29.0,1988,2,20
10058,Sunbury,Victoria,Australia,1989-09-18,Graduate Degree,Skilled Manual,M,S,0,2,0,0,59319,0,52.25,27.0,1989,9,18
10059,El Cajon,California,United States,1972-07-22,High School,Clerical,M,S,1,3,0,0,77940,1,55.83,44.0,1972,7,22
10060,Liverpool,England,United Kingdom,1989-05-27,Partial College,Clerical,M,S,0,3,0,0,83701,1,54.1,27.0,1989,5,27
10061,Paris,Seine (Paris),France,1989-09-12,Bachelors,Management,M,S,0,2,0,0,111898,0,52.94,27.0,1989,9,12
10062,Ingolstadt,Bayern,Germany,1974-11-09,Partial College,Management,M,M,1,3,1,2,104128,1,55.25,42.0,1974,11,9
10063,Milton Keynes,England,United Kingdom,1998-04-07,High School,Clerical,M,S,0,2,0,0,82318,1,53.79,18.0,1998,4,7
10064,W. Linn,Oregon,United States,1959-11-19,Graduate Degree,Skilled Manual,M,S,1,2,1,1,52927,1,51.48,57.0,1959,11,19
10065,Portland,Oregon,United States,1966-08-10,Bachelors,Skilled Manual,M,M,1,2,1,2,53824,1,49.17,50.0,1966,8,10
10066,Newton,British Columbia,Canada,1979-04-21,Bachelors,Clerical,M,M,1,1,1,2,83250,1,58.17,37.0,1979,4,21
10067,Paris,Seine (Paris),France,1992-05-28,Bachelors,Skilled Manual,M,M,0,1,1,2,52236,1,52.43,24.0,1992,5,28
10068,Cliffside,British Columbia,Canada,1985-03-27,Bachelors,Professional,F,S,1,2,0,0,135879,1,53.59,31.0,1985,3,27
10069,Langford,British Columbia,Canada,1967-11-16,High School,Clerical,M,S,1,1,1,1,79824,1,54.38,49.0,1967,11,16
10070,Oakland,California,United States,1979-03-11,Graduate Degree,Manual,M,S,0,0,0,0,35116,1,46.2,38.0,1979,3,11
10071,Woolston,England,United Kingdom,1975-06-28,Bachelors,Management,M,M,1,2,0,2,111257,0,56.09,41.0,1975,6,28
10072,Marysville,Washington,United States,1966-05-05,Bachelors,Clerical,F,M,1,3,1,2,83634,1,51.58,50.0,1966,5,5
10073,Everett,Washington,United States,1976-09-12,High School,Clerical,F,M,1,1,0,2,83943,0,50.35,40.0,1976,9,12
10074,Corvallis,Oregon,United States,1987-10-19,Bachelors,Management,M,S,1,3,0,0,107876,0,50.9,29.0,1987,10,19
10075,Lavender Bay,New South Wales,Australia,1990-04-07,High School,Clerical,M,S,0,1,0,0,81514,1,53.86,26.0,1990,4,7
10076,Saint-Denis,Seine Saint Denis,France,1983-06-19,Partial College,Skilled Manual,F,M,1,2,0,2,52532,0,48.51,33.0,1983,6,19
10077,El Cajon,California,United States,1989-11-27,Graduate Degree,Management,M,S,0,1,0,0,111107,0,53.44,27.0,1989,11,27
10078,Caloundra,Queensland,Australia,1999-02-06,Partial College,Skilled Manual,M,M,0,2,0,0,58719,1,48.98,18.0,1999,2,6
10079,San Carlos,California,United States,1981-11-16,Partial College,Manual,M,M,1,1,1,1,33669,1,59.19,35.0,1981,11,16
10080,Paris,Seine (Paris),France,1975-07-14,High School,Skilled Manual,M,M,1,2,0,2,58984,1,56.56,41.0,1975,7,14
10081,Beverly Hills,California,United States,1981-05-21,Bachelors,Manual,M,M,1,0,0,1,28670,0,47.65,35.0,1981,5,21
10082,Lake Oswego,Oregon,United States,1982-06-24,Partial College,Skilled Manual,M,M,1,0,0,2,55757,1,50.44,34.0,1982,6,24
10083,Westminster,British Columbia,Canada,1977-04-03,Partial High School,Manual,F,S,0,0,0,0,27009,0,45.17,39.0,1977,4,3
10084,Seaford,Victoria,Australia,1994-02-23,Bachelors,Management,M,S,0,3,0,0,112177,0,55.79,23.0,1994,2,23
10085,Redwood City,California,United States,1983-10-12,Bachelors,Professional,M,S,1,3,0,0,128736,0,56.96,33.0,1983,10,12
10086,Burlingame,California,United States,1988-11-20,Graduate Degree,Manual,F,M,0,1,1,1,30445,1,46.23,28.0,1988,11,20
10087,Concord,California,United States,1969-07-10,High School,Skilled Manual,M,M,1,2,1,2,59724,1,56.05,47.0,1969,7,10
10088,Bury,England,United Kingdom,1993-08-18,Bachelors,Professional,M,M,1,1,0,0,138079,0,52.6,23.0,1993,8,18
10089,Grevenbroich,Bayern,Germany,1987-01-18,Partial College,Manual,M,M,0,1,1,1,30188,1,47.49,30.0,1987,1,18
10090,Sooke,British Columbia,Canada,1984-02-16,Bachelors,Skilled Manual,F,S,0,2,0,0,54918,1,52.23,33.0,1984,2,16
10091,Downey,California,United States,1971-09-02,Partial College,Clerical,F,M,1,1,0,2,77749,0,49.76,45.0,1971,9,2
10092,Drancy,Seine Saint Denis,France,1967-02-03,Partial High School,Manual,F,S,1,1,0,1,30725,0,49.3,50.0,1967,2,3
10093,La Jolla,California,United States,1995-01-25,Partial College,Clerical,M,S,0,3,0,0,85548,1,52.0,22.0,1995,1,25
10094,Hobart,Tasmania,Australia,1984-11-13,Bachelors,Management,M,M,1,3,0,0,107318,0,51.59,32.0,1984,11,13
10095,Royal Oak,British Columbia,Canada,1976-09-19,Partial College,Manual,M,M,1,0,1,2,34539,1,57.44,40.0,1976,9,19
10096,Münster,Saarland,Germany,1981-05-11,Graduate Degree,Management,F,M,1,2,0,2,106064,1,51.21,35.0,1981,5,11
10097,Darlinghurst,New South Wales,Australia,1988-03-12,Bachelors,Clerical,M,M,1,2,1,2,80175,1,51.19,29.0,1988,3,12
10098,Townsville,Queensland,Australia,1996-04-19,Bachelors,Professional,F,S,0,2,0,0,130279,1,53.43,20.0,1996,4,19
10099,London,England,United Kingdom,1988-07-11,Partial College,Clerical,M,S,0,2,0,0,86757,1,51.02,28.0,1988,7,11
10100,Metz,Moselle,France,1979-10-28,High School,Skilled Manual,M,S,0,2,0,0,59448,1,49.72,37.0,1979,10,28
10101,Verrieres Le Buisson,Essonne,France,1982-05-06,Bachelors,Management,F,M,1,1,1,1,111976,0,52.65,34.0,1982,5,6
10102,Colma,California,United States,1984-03-23,Graduate Degree,Professional,F,S,1,2,0,0,134797,0,55.49,32.0,1984,3,23
10103,Yakima,Washington,United States,1996-07-08,Partial College,Clerical,F,S,0,2,0,0,84149,0,51.67,20.0,1996,7,8
10104,Westminster,British Columbia,Canada,1970-10-04,Partial High School,Skilled Manual,M,M,1,2,0,2,60199,1,48.66,46.0,1970,10,4
10105,Santa Cruz,California,United States,1972-02-23,Partial College,Manual,F,M,1,1,0,2,26300,0,45.13,45.0,1972,2,23
10106,Bellingham,Washington,United States,1985-09-01,Bachelors,Skilled Manual,M,S,0,1,0,0,53162,1,50.79,31.0,1985,9,1
10107,Beaverton,Oregon,United States,1981-02-23,Partial College,Clerical,M,M,1,3,0,2,87749,0,50.46,36.0,1981,2,23
10108,Oak Bay,British Columbia,Canada,1958-08-12,Graduate Degree,Skilled Manual,F,M,1,1,2,2,56847,1,51.34,58.0,1958,8,12
10109,Edmonds,Washington,United States,1993-03-27,Graduate Degree,Skilled Manual,M,M,0,1,0,0,62015,0,48.54,23.0,1993,3,27
10110,Leipzig,Nordrhein-Westfalen,Germany,1974-03-03,Partial College,Management,F,M,1,1,1,2,107616,1,53.38,43.0,1974,3,3
10111,Berkeley,California,United States,1977-07-24,Partial College,Clerical,F,S,1,2,0,0,81553,0,53.81,39.0,1977,7,24
10112,Gateshead,England,United Kingdom,1990-11-22,Partial College,Clerical,M,S,0,2,0,0,80804,0,50.41,26.0,1990,11,22
10113,Leeds,England,United Kingdom,1985-03-17,High School,Clerical,M,M,1,1,0,1,78864,0,57.16,31.0,1985,3,17
10114,Croix,Nord,France,1985-02-10,Bachelors,Management,M,M,1,1,1,1,106130,1,56.75,32.0,1985,2,10
10115,Sooke,British Columbia,Canada,1983-04-03,Bachelors,Management,F,S,1,1,0,0,103439,0,51.62,33.0,1983,4,3
10116,Kirkby,England,United Kingdom,1995-12-16,Bachelors,Manual,F,M,0,0,0,0,33211,0,46.28,21.0,1995,12,16
10117,Roubaix,Nord,France,1987-12-14,High School,Manual,M,S,0,0,0,0,25806,0,47.52,29.0,1987,12,14
10118,Drancy,Seine Saint Denis,France,1985-11-03,Partial College,Manual,F,M,0,1,0,1,34217,0,45.93,31.0,1985,11,3
10119,Neunkirchen,Saarland,Germany,1977-10-09,Partial College,Clerical,M,M,1,1,0,2,82539,0,58.46,39.0,1977,10,9
10120,Metz,Moselle,France,1989-08-03,Bachelors,Management,M,S,0,2,0,0,110489,0,51.81,27.0,1989,8,3
10121,Berkshire,England,United Kingdom,1994-10-11,Partial High School,Skilled Manual,M,S,0,2,0,0,52562,1,51.83,22.0,1994,10,11
10122,Paderborn,Hamburg,Germany,1998-09-02,Partial College,Clerical,F,S,0,1,0,0,85417,0,51.41,18.0,1998,9,2
10123,Paderborn,Hamburg,Germany,1978-06-03,Bachelors,Manual,M,M,1,0,1,2,34948,1,58.6,38.0,1978,6,3
10124,Berlin,Saarland,Germany,1992-10-19,Partial College,Clerical,F,S,0,1,0,0,79970,0,53.32,24.0,1992,10,19
10125,Newton,British Columbia,Canada,1988-11-20,Bachelors,Skilled Manual,F,M,0,1,0,2,53293,1,49.04,28.0,1988,11,20
10126,Cliffside,British Columbia,Canada,1999-04-07,Partial High School,Skilled Manual,F,M,0,0,0,0,58298,1,48.79,17.0,1999,4,7
10127,Bendigo,Victoria,Australia,1976-02-17,High School,Manual,M,S,0,0,0,0,29773,0,52.84,41.0,1976,2,17
10128,Bremerton,Washington,United States,1963-10-23,Graduate Degree,Professional,F,M,1,2,0,2,133081,0,52.88,53.0,1963,10,23
10129,Burien,Washington,United States,1993-10-19,Partial College,Clerical,F,M,0,0,0,0,86674,0,49.65,23.0,1993,10,19
10130,Tremblay-en-France,Seine Saint Denis,France,1998-02-03,High School,Clerical,F,S,0,1,0,0,83952,0,50.97,19.0,1998,2,3
10131,Wollongong,New South Wales,Australia,1985-10-22,Bachelors,Professional,F,M,1,1,0,1,135934,1,52.52,31.0,1985,10,22
10132,London,England,United Kingdom,1978-04-18,Bachelors,Skilled Manual,M,M,1,0,1,2,54243,1,59.96,38.0,1978,4,18
10133,Beaverton,Oregon,United States,1979-09-02,Graduate Degree,Professional,F,S,1,2,0,0,132634,1,56.27,37.0,1979,9,2
10134,Bellflower,California,United States,1973-02-17,High School,Clerical,M,M,1,1,2,2,81117,1,57.98,44.0,1973,2,17
10135,Woodland Hills,California,United States,1975-04-21,High School,Clerical,M,S,1,3,0,0,78550,1,55.87,41.0,1975,4,21
10136,Cliffside,British Columbia,Canada,1979-05-06,Graduate Degree,Management,F,M,1,2,0,0,112191,1,52.21,37.0,1979,5,6
10137,Walla Walla,Washington,United States,1999-05-12,Partial High School,Manual,F,S,0,1,0,0,26428,0,47.67,17.0,1999,5,12
10138,Renton,Washington,United States,1979-02-16,Partial College,Manual,M,S,0,0,0,0,30292,1,49.61,38.0,1979,2,16
10139,Metz,Moselle,France,1990-01-27,High School,Clerical,F,S,0,2,0,0,78112,1,51.06,27.0,1990,1,27
10140,W. Linn,Oregon,United States,2000-07-12,High School,Skilled Manual,F,M,0,0,0,0,55574,1,48.16,16.0,2000,7,12
10141,Cambridge,England,United Kingdom,1968-09-10,High School,Clerical,M,M,1,2,0,2,82362,1,52.48,48.0,1968,9,10
10142,North Sydney,New South Wales,Australia,1961-03-22,Bachelors,Management,M,S,1,3,1,1,112637,1,51.52,55.0,1961,3,22
10143,San Diego,California,United States,1949-07-03,Partial College,Clerical,F,M,1,0,3,3,85707,1,52.36,67.0,1949,7,3
10144,Corvallis,Oregon,United States,1967-10-05,Bachelors,Professional,M,S,1,2,0,1,129047,1,54.62,49.0,1967,10,5
10145,Downey,California,United States,1987-04-25,Bachelors,Skilled Manual,F,S,0,1,0,0,59346,0,49.96,29.0,1987,4,25
10146,Reading,England,United Kingdom,1971-01-15,Partial College,Clerical,M,M,1,2,0,2,85457,0,53.76,46.0,1971,1,15
10147,W. Linn,Oregon,United States,1981-05-21,High School,Skilled Manual,M,M,1,2,0,2,51246,1,57.48,35.0,1981,5,21
10148,Berks,England,United Kingdom,1979-12-11,Partial College,Management,F,M,1,2,0,1,110476,0,51.02,37.0,1979,12,11
10149,Bellflower,California,United States,1966-04-26,Bachelors,Professional,F,S,1,1,1,1,133251,0,52.24,50.0,1966,4,26
10150,Newton,British Columbia,Canada,1978-04-06,Bachelors,Professional,F,M,1,3,1,2,127688,1,55.15,38.0,1978,4,6
10151,Woodburn,Oregon,United States,1991-06-05,Graduate Degree,Skilled Manual,F,M,0,2,0,1,55916,0,48.46,25.0,1991,6,5
10152,Cambridge,England,United Kingdom,1964-10-28,Bachelors,Clerical,M,S,1,1,1,1,79057,1,53.84,52.0,1964,10,28
10153,Milwaukie,Oregon,United States,1977-01-28,Partial College,Clerical,M,M,1,2,0,2,85042,1,57.08,40.0,1977,1,28
10154,Lebanon,Oregon,United States,1970-09-25,Partial College,Skilled Manual,F,M,1,1,2,2,60876,1,49.15,46.0,1970,9,25
10155,Hervey Bay,Queensland,Australia,1970-06-23,Partial High School,Skilled Manual,F,S,1,1,0,0,58013,0,49.56,46.0,1970,6,23
10156,Liverpool,England,United Kingdom,1971-07-10,Partial College,Management,M,M,1,1,1,2,107433,1,54.57,45.0,1971,7,10
10157,Saint Ouen,Somme,France,1991-08-08,Partial College,Clerical,M,M,1,3,0,1,77636,1,49.86,25.0,1991,8,8
10158,Oregon City,Oregon,United States,1979-09-02,Graduate Degree,Clerical,M,M,1,1,1,1,83987,1,53.67,37.0,1979,9,2
10159,Les Ulis,Essonne,France,1968-02-13,High School,Skilled Manual,F,S,1,0,0,0,59723,1,52.41,49.0,1968,2,13
10160,York,England,United Kingdom,1966-10-12,Bachelors,Clerical,F,S,1,3,0,1,79775,1,49.92,50.0,1966,10,12
10161,Villeneuve-d'Ascq,Nord,France,1996-09-08,High School,Skilled Manual,F,S,0,1,0,0,61013,0,48.79,20.0,1996,9,8
10162,Neunkirchen,Saarland,Germany,1961-02-28,Partial College,Manual,F,M,1,0,1,2,33326,1,47.46,56.0,1961,2,28
10163,San Gabriel,California,United States,1982-02-05,Partial College,Skilled Manual,F,S,0,1,0,0,60696,0,48.93,35.0,1982,2,5
10164,Salem,Oregon,United States,1983-11-02,Partial College,Skilled Manual,F,M,1,1,0,1,60901,0,48.31,33.0,1983,11,2
10165,Burnaby,British Columbia,Canada,1990-04-20,Graduate Degree,Management,F,S,0,2,0,0,107259,0,54.61,26.0,1990,4,20
10166,London,England,United Kingdom,1969-04-15,High School,Clerical,M,M,1,3,1,2,77885,1,61.42,47.0,1969,4,15
10167,Newcastle upon Tyne,England,United Kingdom,1987-08-21,Bachelors,Clerical,F,S,0,2,0,0,86207,0,51.16,29.0,1987,8,21
10168,Milsons Point,New South Wales,Australia,1980-09-15,Partial College,Skilled Manual,F,M,1,1,1,2,58074,1,50.57,36.0,1980,9,15
10169,Westminster,British Columbia,Canada,1964-04-20,High School,Clerical,F,M,1,1,0,2,85021,0,50.33,52.0,1964,4,20
10170,Pantin,Seine Saint Denis,France,1996-11-23,High School,Skilled Manual,F,S,0,1,0,0,57727,0,50.25,20.0,1996,11,23
10171,East Brisbane,Queensland,Australia,1967-08-08,Partial High School,Manual,M,M,1,1,1,2,32536,0,47.52,49.0,1967,8,8
10172,Langley,British Columbia,Canada,1977-01-17,High School,Skilled Manual,M,M,1,1,1,2,54042,1,57.64,40.0,1977,1,17
10173,Gold Coast,Queensland,Australia,1981-05-03,Partial College,Management,F,S,1,0,0,0,109178,1,54.13,35.0,1981,5,3
10174,Saarlouis,Saarland,Germany,1954-08-03,Graduate Degree,Professional,F,M,1,1,1,3,134388,1,55.68,62.0,1954,8,3
10175,South Melbourne,Victoria,Australia,1983-10-27,Bachelors,Skilled Manual,F,S,0,0,0,0,60791,1,52.98,33.0,1983,10,27
10176,Hervey Bay,Queensland,Australia,1964-09-10,High School,Skilled Manual,F,M,1,2,2,2,61593,1,52.67,52.0,1964,9,10
10177,Bellflower,California,United States,1988-05-08,Graduate Degree,Professional,M,M,1,3,0,0,139071,1,52.08,28.0,1988,5,8
10178,San Carlos,California,United States,1980-04-17,Partial College,Clerical,F,M,1,2,1,2,86206,1,51.59,36.0,1980,4,17
10179,Berkeley,California,United States,1995-02-12,High School,Clerical,F,S,0,2,0,0,82599,1,54.4,22.0,1995,2,12
10180,Berlin,Hessen,Germany,1963-02-11,Partial College,Management,F,S,1,2,1,1,107367,1,56.24,54.0,1963,2,11
10181,Spring Valley,California,United States,1970-05-19,Bachelors,Skilled Manual,M,M,1,1,1,2,59936,1,51.87,46.0,1970,5,19
10182,Geelong,Victoria,Australia,1947-03-09,Partial College,Skilled Manual,M,M,1,1,1,2,53536,1,50.73,70.0,1947,3,9
10183,Saint Ouen,Somme,France,1968-04-13,High School,Skilled Manual,F,M,1,1,1,2,59639,1,52.64,48.0,1968,4,13
10184,Morangis,Essonne,France,1994-03-01,Partial High School,Manual,F,S,0,1,0,0,34657,0,49.47,23.0,1994,3,1
10185,Burlingame,California,United States,1955-11-20,Graduate Degree,Manual,F,M,1,1,0,3,36583,0,46.88,61.0,1955,11,20
10186,Ingolstadt,Bayern,Germany,1999-11-26,Partial College,Skilled Manual,M,S,0,1,0,0,52620,0,49.9,17.0,1999,11,26
10187,Torrance,California,United States,1997-10-23,Partial College,Clerical,M,M,0,3,0,0,87636,0,50.13,19.0,1997,10,23
10188,Yakima,Washington,United States,1981-11-10,Partial College,Manual,M,M,1,1,1,2,33274,1,52.57,35.0,1981,11,10
10189,Colma,California,United States,1955-12-26,Graduate Degree,Clerical,M,M,1,0,1,2,83497,1,51.37,61.0,1955,12,26
10190,Lille,Nord,France,1988-02-02,Partial College,Skilled Manual,M,S,0,1,0,0,53150,0,51.65,29.0,1988,2,2
10191,Wokingham,England,United Kingdom,1976-09-08,Bachelors,Skilled Manual,F,M,1,2,1,2,52762,1,51.17,40.0,1976,9,8
10192,Berks,England,United Kingdom,1994-01-26,Partial College,Manual,F,M,0,0,0,0,27197,0,44.96,23.0,1994,1,26
10193,San Carlos,California,United States,1982-06-27,Bachelors,Professional,F,M,1,3,0,2,137493,1,51.6,34.0,1982,6,27
10194,Beaverton,Oregon,United States,1985-10-23,Partial College,Clerical,F,M,1,2,2,2,87102,1,50.45,31.0,1985,10,23
10195,Seattle,Washington,United States,1981-09-16,High School,Skilled Manual,M,M,1,1,1,2,51356,1,55.72,35.0,1981,9,16
10196,Chula Vista,California,United States,1950-01-03,Graduate Degree,Professional,F,M,1,1,1,2,134579,1,54.4,67.0,1950,1,3
10197,Darlinghurst,New South Wales,Australia,1988-02-19,Bachelors,Skilled Manual,F,S,0,2,0,0,55783,0,49.56,29.0,1988,2,19
10198,Ballard,Washington,United States,1985-04-03,Partial College,Skilled Manual,M,S,0,0,0,0,60599,0,59.42,31.0,1985,4,3
10199,Melton,Victoria,Australia,1978-11-24,Graduate Degree,Clerical,M,S,1,0,0,0,80765,1,57.4,38.0,1978,11,24
10200,Solingen,Nordrhein-Westfalen,Germany,1973-09-04,High School,Skilled Manual,M,M,1,1,0,2,58622,0,56.66,43.0,1973,9,4
10201,Sèvres,Hauts de Seine,France,1984-06-05,Partial High School,Manual,F,S,0,0,0,0,36262,0,48.6,32.0,1984,6,5
10202,Goulburn,New South Wales,Australia,1964-10-03,High School,Clerical,M,S,1,1,0,1,84198,1,51.97,52.0,1964,10,3
10203,Cranbourne,Victoria,Australia,1991-02-28,Partial High School,Skilled Manual,F,M,0,2,0,1,55093,1,48.43,26.0,1991,2,28
10204,Villeneuve-d'Ascq,Nord,France,1985-06-26,Partial College,Skilled Manual,M,S,0,0,0,0,53111,1,54.56,31.0,1985,6,26
10205,Berlin,Nordrhein-Westfalen,Germany,1966-08-22,Bachelors,Skilled Manual,M,S,1,2,0,1,60739,0,51.71,50.0,1966,8,22
10206,Watford,England,United Kingdom,1982-10-26,Graduate Degree,Management,F,M,1,2,0,0,102723,0,50.67,34.0,1982,10,26
10207,Corvallis,Oregon,United States,1973-11-11,Bachelors,Skilled Manual,M,M,1,1,2,2,60344,1,59.18,43.0,1973,11,11
10208,Kiel,Saarland,Germany,1989-06-16,Graduate Degree,Management,M,S,0,2,0,0,109190,1,53.04,27.0,1989,6,16
10209,Morangis,Essonne,France,1963-07-18,Partial College,Clerical,M,S,1,0,0,1,81438,1,51.35,53.0,1963,7,18
10210,Yakima,Washington,United States,1977-11-23,Partial College,Management,F,M,1,2,0,1,103738,0,51.2,39.0,1977,11,23
10211,Lake Oswego,Oregon,United States,1975-07-08,High School,Skilled Manual,F,M,1,1,1,2,54497,1,51.28,41.0,1975,7,8
10212,Cloverdale,South Australia,Australia,1986-03-18,Graduate Degree,Management,F,S,1,2,0,0,107334,1,52.26,30.0,1986,3,18
10213,Yakima,Washington,United States,1992-05-28,Partial College,Skilled Manual,M,S,0,1,0,0,57911,1,50.34,24.0,1992,5,28
10214,Lavender Bay,New South Wales,Australia,1988-11-13,Bachelors,Manual,F,S,0,0,0,0,33196,1,47.53,28.0,1988,11,13
10215,Kirkby,England,United Kingdom,1985-06-27,Bachelors,Professional,M,M,1,2,0,0,134669,0,58.63,31.0,1985,6,27
10216,Paris,Seine (Paris),France,1980-06-14,High School,Manual,F,S,0,1,0,0,29027,0,46.98,36.0,1980,6,14
10217,Cliffside,British Columbia,Canada,1954-03-11,Graduate Degree,Management,F,M,1,1,2,3,109370,1,55.41,63.0,1954,3,11
10218,Bonn,Nordrhein-Westfalen,Germany,1992-06-22,Partial High School,Skilled Manual,M,S,0,2,0,0,59093,1,51.13,24.0,1992,6,22
10219,Newton,British Columbia,Canada,1994-03-23,High School,Skilled Manual,F,S,0,1,0,0,60078,0,53.2,22.0,1994,3,23
10220,San Diego,California,United States,1988-11-07,Bachelors,Management,F,S,0,2,0,0,104687,0,54.66,28.0,1988,11,7
10221,Glendale,California,United States,1981-01-07,Bachelors,Clerical,F,M,1,0,0,1,78460,0,49.78,36.0,1981,1,7
10222,W. Linn,Oregon,United States,1957-02-10,Graduate Degree,Management,F,M,1,3,1,2,109273,1,52.74,60.0,1957,2,10
10223,Lille,Nord,France,1976-10-25,Bachelors,Skilled Manual,F,M,1,2,0,2,53411,1,49.02,40.0,1976,10,25
10224,Oakland,California,United States,1998-02-16,High School,Skilled Manual,F,M,0,1,0,0,57555,0,48.0,19.0,1998,2,16
10225,Port Hammond,British Columbia,Canada,1956-01-09,Partial College,Clerical,F,M,1,2,0,2,83478,0,50.42,61.0,1956,1,9
10226,Oakland,California,United States,1970-05-16,Partial College,Manual,F,M,1,1,0,2,36163,0,46.74,46.0,1970,5,16
10227,Pantin,Seine Saint Denis,France,1988-01-04,Bachelors,Management,F,S,0,3,0,0,109727,1,54.25,29.0,1988,1,4
10228,Poing,Saarland,Germany,1992-05-28,Partial High School,Manual,M,S,0,1,0,0,28121,0,45.45,24.0,1992,5,28
10229,Novato,California,United States,1979-04-08,Bachelors,Manual,M,M,1,1,0,2,27850,0,54.13,37.0,1979,4,8
10230,Paris,Seine (Paris),France,1992-05-19,Partial High School,Skilled Manual,M,S,0,1,0,0,53945,0,49.63,24.0,1992,5,19
10231,El Cajon,California,United States,1976-11-14,High School,Manual,F,M,1,0,1,1,31471,1,48.4,40.0,1976,11,14
10232,Bonn,Nordrhein-Westfalen,Germany,1995-12-19,Partial College,Manual,M,S,0,0,0,0,26689,0,47.44,21.0,1995,12,19
10233,North Ryde,New South Wales,Australia,1994-02-01,Bachelors,Clerical,F,S,0,1,0,0,76679,0,53.6,23.0,1994,2,1
10234,Concord,California,United States,1966-09-25,Bachelors,Clerical,M,M,1,2,1,2,80827,1,51.15,50.0,1966,9,25
10235,San Diego,California,United States,1990-07-28,Graduate Degree,Management,M,M,1,3,0,2,112342,1,51.48,26.0,1990,7,28
10236,W. York,England,United Kingdom,1984-05-12,Bachelors,Management,F,M,1,1,1,2,110773,1,51.4,32.0,1984,5,12
10237,Les Ulis,Essonne,France,1953-05-23,High School,Skilled Manual,M,S,1,1,0,1,60176,1,50.37,63.0,1953,5,23
10238,Haney,British Columbia,Canada,1990-02-27,Graduate Degree,Management,M,M,1,2,1,2,112720,1,51.79,27.0,1990,2,27
10239,Bracknell,England,United Kingdom,1968-03-08,High School,Skilled Manual,F,M,1,0,0,2,52239,0,49.1,49.0,1968,3,8
10240,Berkeley,California,United States,1979-03-01,Graduate Degree,Clerical,F,S,1,3,0,0,83058,0,53.49,38.0,1979,3,1
